Estado Presente,,,Entradas,,,Liga,,,Salidas,,,,,
Q2,Q1,Q0,Z,Y,X,D2,D1,D0,S0,S1,S2,S3,S4,S5
0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
0,0,0,1,0,0,0,0,1,1,1,0,0,1,0
0,0,0,0,1,0,0,0,1,1,1,0,0,1,0
0,0,0,1,1,0,0,0,1,1,1,0,0,1,0
0,0,0,0,0,1,0,1,0,1,1,1,0,0,0
0,0,0,1,0,1,0,1,0,1,1,1,0,0,0
0,0,0,0,1,1,0,1,0,1,1,1,0,0,0
0,0,0,1,1,1,0,1,0,1,1,1,0,0,0
0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
0,0,1,0,0,1,0,1,1,0,0,0,1,0,0
0,0,1,0,1,0,0,1,1,0,0,0,1,0,0
0,0,1,0,1,1,0,1,1,0,0,0,1,0,0
0,0,1,1,0,0,0,1,1,0,0,0,1,0,0
0,0,1,1,0,1,0,1,1,0,0,0,1,0,0
0,0,1,1,1,0,0,1,1,0,0,0,1,0,0
0,0,1,1,1,1,0,1,1,0,0,0,1,0,0
0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
0,1,0,0,0,1,1,0,0,1,0,0,0,0,1
0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
0,1,0,1,0,1,1,0,0,1,0,0,0,0,1
0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
0,1,0,0,1,1,0,1,0,1,0,0,0,0,1
0,1,0,1,1,0,0,1,0,1,0,0,0,0,1
0,1,0,1,1,1,0,1,0,1,0,0,0,0,1
0,1,1,0,0,0,0,0,1,0,0,0,1,0,1
0,1,1,0,0,1,0,0,1,0,0,0,1,0,1
0,1,1,0,1,0,0,0,1,0,0,0,1,0,1
0,1,1,0,1,1,0,0,1,0,0,0,1,0,1
0,1,1,1,0,0,0,0,1,0,1,0,1,0,1
0,1,1,1,0,1,0,0,1,0,1,0,1,0,1
0,1,1,1,1,0,0,0,1,0,1,0,1,0,1
0,1,1,1,1,1,0,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
1,0,0,1,1,1,0,0,0,0,0,0,0,1,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Tabla reducida,,,,,,,,,,,,,,
Estado Presente,,,Entradas,,,Liga,,,Salidas,,,,,
Q2,Q1,Q0,Z,Y,X,D2,D1,D0,S0,S1,S2,S3,S4,S5
0,0,0,*,*,1,0,1,0,1,1,1,0,0,0
0,0,0,*,*,0,0,0,1,1,1,0,0,1,0
0,0,1,*,*,*,0,1,1,0,0,0,1,0,0
0,1,0,*,0,*,1,0,0,1,0,0,0,0,1
0,1,0,*,1,*,0,1,0,1,0,0,0,0,1
0,1,1,0,*,*,0,0,1,0,0,0,1,0,1
0,1,1,1,*,*,0,0,1,0,1,0,1,0,1
1,0,0,*,*,*,0,0,0,0,0,0,0,1,0
